User;Text;Date
Informe Regio;"Además, el cierre del viaducto hacia la autopista a Reynosa por las recientes lluvias de la tormenta Alberto ha complicado aún más la movilidad, obligando a desvíos y aumentando las demoras para quienes se desplazan por la zona. 🚧

#Tráfico #NL #Monterrey #TormentaAlberto";26/06/2024 10:37:31
CIC;💧#CuidadoDelAgua sin suministro de agua en la colonia Cumbres 6o. Sector #Monterrey vía @humberto26 cc @ayd_monterrey;26/06/2024 10:36:35
Tamaulipas R-T-C;"DESAPARECEN MADRE E HIJA EN LA CARRETERA #MONTERREY - #NUEVO_LAREDO

LLEVAN MÁS DE UN MES DE AUSENCIA Y CERO AVANCE POR PARTE DE LAS AUTORIDADES.

APOYA COMPARTIENDO POR FAVOR 🙏🏻

@SSPCMexico @SSP_GobTam @FGJ_Tam @VoceriaSegTamps @FiscaliaNL @samuel_garcias https://t.co/9hjYMQkh33";26/06/2024 10:33:48
N30;Ya les llegó el agua mis chilangos ligth? #monterrey https://t.co/IAd27ug6vz;26/06/2024 10:32:49
Javi Perez;"Ahora el presidente de la cumbre: Daniel Ivoskus: @divoskus

#ComunicaciónPolítica #Política #Monterrey

Recuerda que también nos puedes ver por https://t.co/D0SeN8OCl7 https://t.co/xIRdLtOXFg";26/06/2024 10:32:23
Dan;"Ahora que tienen control sobre todo el territorio y millones de dólares a disposición, el problema de las inuncaciones es la basura que la gente tira. 🤡

#elsalvador #bukelismo #inundaciones";26/06/2024 10:32:21
Benny Bodocote;"@samuel_garcias Es usted un inepto; y junto a su esposa @marrdzcantu , son el ejemplo nacional de lo que es la corrupción, en el nivel más burdo. Lo que necesita #NuevoLeón es que le ejecuten el Juicio Político, y se vaya a la cárcel o a su casa.";26/06/2024 10:32:10
JORGE ELIZONDO;"aplicó un Chacon ( arbitro ) : "" todos me la pelan "" .... jajja 

#NuevoLeon #Monterrey #FelizMiércoles";26/06/2024 10:31:57
TV Azteca Chiapas;"🌧️🏠 A sus 82 años, doña Julia enfrenta inundaciones en su casa cada vez que llueve fuerte. Sus vecinos la apoyan, pero necesita más ayuda.
https://t.co/brx2VZ0vip
#Inundaciones #Solidaridad #Chiapas 💔";26/06/2024 10:30:01
"Infoteca Central ""Dr. Alejandro Dávila Flores""";#diccionario #PalabraDelDía #Biblioteca #DiccionarioDeAmericanismos #Mexico #bajacalifornia #BajaCaliforniaSur #Coahuila #Chihuahua #NuevoLeón #Sonora #Biblioteca @UAdeC @diccionario @diccionariovip @AMLengua @masunapalabra @lobosuadec #lecturas https://t.co/5hrg3O0LhR;26/06/2024 10:28:44
Revista Ícono Veracruz;"😦😦 #Terror|| Mujer fantasma es captada junto a trailero en #Monterrey. 😦😮😮😮
😟😮 El video viral en el que aparece el evento paranormal fue grabado el 31 de marzo de este 2024 y en las imágenes claramente se aprecia un conductor que no se percata que a su lado está una... https://t.co/GG8O55XQBV";26/06/2024 10:27:24
David Faz;"#PronósticoDelTiempo🌤️ Parcialmente soleada y bochornosa mitad de semana en #Monterrey con 32° de temperatura máxima.

@gamavisionmx https://t.co/8IrJSpp9pQ";26/06/2024 10:27:17
DRC Vialidad;"🔴VÍA CERRADA🔴
#NoticiasDRC #NuevoLeón
Cierre total por deslave de talud en km 033+500 Carretera Linares - Ent. San Roberto, dirección Iturbide.";26/06/2024 10:26:52
Denisse Romero;Inicia desfogue de agua de la presa El Cuhillo en #NuevoLeón a la presa Marte R. Gómez de #Tamaulipas, como medida preventiva por el alto nivel del agua en #NuevoLeón https://t.co/kdmbQaIgPb;26/06/2024 10:26:48
Abner Piñate;"¡Bienvenidos a la XX Cumbre Mundial de Comunicación Política #CumbreMonterrey 🇲🇽! ️

3 días a pura Comunicación Política. 

¿Qué expectativas tienes? #ComunicaciónPolítica #Política #Monterrey

Recuerda que también nos puedes ver por https://t.co/SKwOGkNwAd https://t.co/3IThuPMtvB";26/06/2024 10:26:30
Ferbonobox;Y también el supremo poder político le pondrá el dedo para asesinarlo como al magistrado Juan Pablo Gómez Fierro hace unos días en #Monterrey #MexicoJusto https://t.co/xuYQZGUELJ;26/06/2024 10:20:25
New Cameroon Views;Los mejores momentos de la #ópera https://t.co/NisUNlnkXz #CiudaddeMéxico #Ecatepec #Guadalajara #PuebladeZaragoza #Tijuana #CiudadJuarez #León #Zapopan #Monterrey #Nezahualcóyotl #Hermosillo #Chihuahua #NaucalpandeJuárez #Mérida #SanLuisPotosí #Aguascalientes #UK #Mexico #Espana;26/06/2024 10:18:06
𝔸𝕝𝕖 _ 𝕏  🇲🇽;"@elnorte En donde quedó el más hocicón de #NuevoLeón @samuel_garcias, que decia que era el único que iba a defender el agua del estado.
Como siempre quedando como el payaso inútil que es.
https://t.co/0WdmfxY3I4";26/06/2024 10:17:04
CIC;💧#CuidadoDelAgua sin suministro de agua en la colonia Barrio San Luis #Monterrey vía @carneselectas cc @ayd_monterrey;26/06/2024 10:14:39
CIC;💧#CuidadoDelAgua sin suministro de agua en la colonia Cumbres 2º. Sector #Monterrey vía @83dasg cc @ayd_monterrey;26/06/2024 10:40:01
El Momento;"¿Qué opinas de esto? 😯Una joven fue captada bañándose en el río #SantaCatarina en #Monterrey, #NuevoLeón, debido a que tiene días sin agua en su casa. #desabasto #agua #nuevoleón #viral #video #jovensebañaenrio #rio

https://t.co/f2IAF08lke";26/06/2024 11:06:33
