Usuario,Nombre,Fecha,Texto,Likes,Retweets,Comentarios,Citas,Enlace,Videos,Imágenes
@elnortelocal,elnortelocal,"Jun 23, 2024 · 6:09 AM UTC",seguridad un incendio presuntamente de basura moviliza a equipos de rescate en una empresa de la colonia bella vista,69,11,4,0,https://twitter.com/elnortelocal/status/1804758615930147326#m,['https://video.twimg.com/ext_tw_video/1804758548896743424/pu/vid/avc1/848x480/tdpxnluGxHNfjBLt.mp4?tag=12'],
@elnortelocal,elnortelocal,"Jun 22, 2024 · 6:56 PM UTC",local por talud de canal de desagüe en escobedo que cayó tras las lluvias municipio inhabilita un carril de un tramo frente al sector nexxus,20,5,1,0,https://twitter.com/elnortelocal/status/1804589333912940622#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 3:54 PM UTC",local pese a que las lluvias cedieron escurrimientos de la tormenta alberto caen a las presas de nl causando que siga aumento almacenamiento,29,5,0,0,https://twitter.com/elnortelocal/status/1804543441998692789#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 2:59 PM UTC",local el parque ecológico chipinque mantiene un cierre preventivo tras el deslave de material rocoso en la vialidad principal en san pedro,2,1,0,0,https://twitter.com/elnortelocal/status/1804529733792682422#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 2:59 PM UTC",local habitantes de santiago iturbide zaragoza y aramberri que están incomunicados por las lluvias piden el apoyo del gobierno del estado,78,36,11,3,https://twitter.com/elnortelocal/status/1804529596680864218#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 2:50 PM UTC",local durante el paso de la tormenta alberto que trajo consigo lluvias intensas el par vial de constitución y morones prieto resulta con daños,3,2,0,0,https://twitter.com/elnortelocal/status/1804527428594696243#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 2:50 PM UTC",local y tras las lluvias el almacenamiento conjunto de las presas que abastecen al área metropolitana se dispara por ciento en sólo dos días,5,0,1,0,https://twitter.com/elnortelocal/status/1804527291860451606#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 7:28 PM UTC",local conagua vigila una zona de baja presión en el golfo con potencial para desarrollo ciclónico que traerá lluvias a partir del domingo a nl,25,10,1,1,https://twitter.com/elnortelocal/status/1804234944123932795#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 5:42 PM UTC",entérate sectores aledaños a la presa libertad sufren inundaciones generadas por los escurrimientos de las lluvias acumuladas en linares más información en,50,11,2,0,https://twitter.com/elnortelocal/status/1804208385442607331#m,['https://video.twimg.com/ext_tw_video/1804208357596663808/pu/vid/avc1/480x848/ogfeg6Xv2TU0-HL5.mp4?tag=12'],
@elnortelocal,elnortelocal,"Jun 21, 2024 · 4:50 PM UTC",entérate tras las lluvias de alberto el gobernador samuel garcía se compromete a arrancar el lunes la reconstrucción de los daños en el par vial,8,1,2,0,https://twitter.com/elnortelocal/status/1804195172462522809#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 4:48 PM UTC",entérate la conagua reporta que algunas estaciones de medición alcanzan los milímetros de agua tras las lluvias de la tormenta alberto en nl,24,5,1,0,https://twitter.com/elnortelocal/status/1804194744689479787#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 2:50 PM UTC",local por décadas habitantes de las colonias al norte de monterrey sufrían por las inundaciones ahora sufren por la basura que tapa el drenaje,16,2,5,0,https://twitter.com/elnortelocal/status/1804164890686337412#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 2:34 PM UTC",local luego de su peor nivel en años las presas que abastecen a la ciudad suben su almacenamiento en conjunto con lluvias de alberto más información en,3,1,0,0,https://twitter.com/elnortelocal/status/1804161032232780003#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 1:07 AM UTC",local conagua advierte por lluvias fuertes e incluso caída de granizo y actividad eléctrica en las próximas horas tras degradación de alberto,77,25,0,2,https://twitter.com/elnortelocal/status/1803957801535832310#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 12:47 AM UTC",entérate la sierra de santiago es impactada por lluvias de la tormenta alberto que dejó deslaves e inundaciones la cola de caballo se desborda más información en,74,16,0,2,https://twitter.com/elnortelocal/status/1803952907173216343#m,['https://video.twimg.com/ext_tw_video/1803952874633703424/pu/vid/avc1/720x1280/TCfvrCp4_yLJe-TJ.mp4?tag=12'],
@elnortelocal,elnortelocal,"Jun 20, 2024 · 11:34 PM UTC",entérate la fuerza de los afluentes de agua en el parque la huasteca tras las lluvias por alberto rompen la carretera a la presa rompepicos más información en federico padilla,266,60,2,0,https://twitter.com/elnortelocal/status/1803934448070598743#m,['https://video.twimg.com/ext_tw_video/1803934404856684544/pu/vid/avc1/480x848/mIpyR1fwisbfoBfc.mp4?tag=12'],
@elnortelocal,elnortelocal,"Jun 20, 2024 · 11:01 PM UTC",local por décadas habitantes de las colonias al norte de monterrey sufrían por las inundaciones ahora sufren por la basura que tapa el drenaje,33,10,5,2,https://twitter.com/elnortelocal/status/1803926224013512758#m,,
@elnortelocal,elnortelocal,"Jun 20, 2024 · 8:30 PM UTC",local la casa del tec ubicada en santa catarina y que será rifada este sábado sufre inundaciones por las lluvias de la tormenta alberto más información en,42,14,5,1,https://twitter.com/elnortelocal/status/1803888060171718708#m,['https://video.twimg.com/ext_tw_video/1803888007209984000/pu/vid/avc1/480x848/ELxh2TyzEWAL2pgj.mp4?tag=12'],
